Action	Subtitle
CheckingSomething	Hmm
CheckingSomething	
CheckingSomething	Jag tänker att den här borde vi ju kunna
Congratulate	Tycker jag i alla fall men
CheckingSomething	Jag ser att christer med oss igen vi härligt med återkommande återkommande besökande
CheckingSomething	Hmm det här vi gjorde förra gången
CheckingSomething	Jag har har förberett lite här för det är så att jag behöver veta in som skribent i ni kommer ihåg det fina som är blå här skulle vilja se om vi kan hitta dem med hjälp av dig för jag har ingen aning
CheckingSomething	Jag blir helt värdelösa när man ska komma ihåg vad sakerna gör men det är ju kul
CheckingSomething	C sharp
CheckingSomething	Gått snett hmm jag vet inte varför har vi då så vi har gott nytt år jag tänker att det vill jag ha det här så hmm talat så oberoende av os och grejer som möjligt det känns smutsigt annars
CheckingSomething	Tal styrningen så där i ett eget projekt och sen så så tar vi och hmm göra någon form av interface för det är så att vi har signaler eller något annat parti eller någonting hmm appen kan skicka in
CheckingSomething	Arne byggnader
CheckingSomething	Hmm det det här framför allt är det som har hänt mycket de senaste åren att den kan svenska det kunde jag inte för det var ganska dålig fortfarande mycket bättre på engelska och det är väl inte så konstigt
Congratulate	Blev det inget dead nere blev lite ledsen vi får vi får lagra du vill få ägna strömmen något för brotten arne vi håller på med
Congratulate	Right
Congratulate	Grymt grymt att se att det är på håret att den lyckas en kalle här så vi får hålla i alla hattar
CheckingSomething	Hmm är det något som går att se på
Congratulate	Byggnader hmm
CheckingSomething	Hmm samtals
CheckingSomething	Litet sätt att skicka kommandon via signaler
CheckingSomething	Hmm det kanske bäst att göra det i
CheckingSomething	De har gjort den här klipper JS har vi lyfter in det är bara jag varit framme och signal r för att kunna skicka kommandon till hmm s så hmm hmm
CheckingSomething	De som har de känner igen de här fantastiska hmm fantastiska oj vad konstigt det här fantastiska djuret
CheckingSomething	Så så så hmm leta upp ett fint exempel hmm
GetAttention	Jag skulle fräs här
GestureRight	Finns inte att det är inte bara kul alltid när man skapar värde så saker av värde så blir det måste vara tråkiga saker ibland så är det för att vi ska orka göra mer tråkiga saker som vi kan skapa saker av värde resten av veckan
CheckingSomething	Hmm det ser ut ungefär så här jag vet inte hur många av er har arbetat något matcher
CheckingSomething	Arne listorna när jag har egentligen bara göra det om det här skulle bara
GetAttention	Om jag tar bort arne och ta fram a nu igen
Congratulate	Nu är vi tillbaka nu då
Congratulate	Vi vi kör på det
CheckingSomething	Bara blir bra det kanske är det bra
GestureRight	Jönköping det är då du kommit en bit ut i landet fantastisk hmm det förvirrat kan man väl säga men så är det det här kommer bli det blir nog roligare när det förvirrat
CheckingSomething	Där i hmm bilderna som vi prövar v
RandomQuote	Ja jag har gjort lite nu mellan strömmarna här ska vi säga och det är strålande och nu och jag vet att nasa för att det är från skövde eller inte är från men för tillfället befinner sig i jönköping och det är nästan värd
CheckingSomething	Jag kommer funka bra men det är en bra start och sedan tycker jag att vi jobbar vidare därifrån sen om det blir bra eller om det blir
CheckingSomething	Lagt till att den är svenskarna lyssnar på är det enda hjortdjur samhället för att det skulle funka
CheckingSomething	Än en hmm en hub och så en liten
CheckingSomething	Vi måste träda upp diagrammet och göra roliga saker jag tror att det kan vara ganska kasst på det från början så nästa steg framöver tänker jag något i stil med att vi kommer uppskatta den här är twitch med med är game ett och så kan ni styra det lite sådär och sen så kollade vi på lite
GestureRight	Så steget kanske är att vi ska få upp det som hmm automatiskt samtidigt eller jag vet inte om det stör nu men
CheckingSomething	Jess nu har ramlat eller kanske så vi vi kan väl börja kolla lite på här
GestureDown	Ska vi säga hmm JS och då skulle vi få in den här hmm ska försöka återskapa det här lyssna och spotta ut på skärmen och då tror jag att det måste vara någon form av hmm ska vi se någon form av
GetAttention	Ä i alla fall visat sig bra senaste
GetAttention	Mina drömmar och ideer och sådär som jag sitter och funderar på när när jag har tråkigt vad tror du om det
CheckingSomething	Om man kollar den har faktiskt en liten liten text men det funkar ju ganska bra ut efter bookseller
Congratulate	Där vi bara tar emot kommandon till exempel att de ska kunna prata och sedan så gjorde vi en
GestureRight	Det är så mycket konstigt hemligt i askim grejen som jag tänker att det är dumt om vi säger så så jag har gjort en liten screenshot och är noterat
EmptyTrash	Hmm följa upp det här vad är det här b nånstans du går in i program ses hmm jag inne i hmm gått snett
CheckingSomething	Hmm ska vi se om vi kan få barn jag också
CheckingSomething	s trupper eller så där blir bra eller kanske bygga brandet ganska bra namn under temat kommer bli kul
CheckingSomething	Ja det är frågan det är lite intressant att veta hur länge det har hmm det är de närmast sörjande eller om det är faktiskt börjat sprida sig lite
Congratulate	Sju dåligt nej men det är bra
GetAttention	Kunde han se sa att den kan lyssna på oss
GestureDown	Sno den här koden vippa rutorna koden för det här vi ute efter okej bra
RandomQuote	Medverkar vi har blivit frånkopplade och är det något som tar allt nu och det kanske är att jag har två stycken
GetAttention	Svensson och sen har jag ju då det är dyrt
GestureUp	Jag vet inte vad det var som gjorde det där men hmm hade av internet en stund börjar jag vet inte vad vi var när den fick för sig att sluta men övergång och vi hoppas att det funkar
CheckingSomething	Iallafall den svensktalande de 2:a får ha tråkigt helt enkelt och det är trevligt efter vi är på jakt efter det som fick oss att börja programmera en gång i tiden när vi var typ 12 och satt med bara undrar hur det blir med det egentligen
CheckingSomething	Kan sola vätskan är den ska ligga i botten av det är jättebra men vad ska du med det till hmm
CheckingSomething	Hur är läget idag var vad vara ifrån alla från göteborg här chatten förresten eller av annan från annanstans
CheckingSomething	Åren där sa nu är med och hade massa bra grejer vi kan ju testa och köra det här
CheckingSomething	Slussens igång kan det vara där eller vad är det som tar med kö
CheckingSomething	Om du kör jag den det är därför de är där nere och ser helt paralyserat ut
CheckingSomething	Jag säger vi fortfarande inte har lagt sig
CheckingSomething	Hmm installering verkligen inte hur bra är lite borde heta någonting i hmm kognitiv så skulle jag kunna fuska se vad 2:a har
CheckingSomething	Jag klipper funkar fortfarande inte vad det är arne kom jag nu
RandomQuote	Allt som sägs genom det borde väl vara enkelt tänker jag IS hmm då ska vi se då vill jag ha ett konsulat se fyrkant jättebra
CheckingSomething	Lyssna lite på mikrofonen och skicka vidare det som sägs bollar lite vi körde så där jätte gott var man ska äta mig prophon hmm
CheckingSomething	Se vad som händer stämmer fortfarande funkar nog inte prövat det är samtidigt som jag skriver om det fortfarande kommer åt mikrofonen och här har en massa exempel på bra grejer jag tänker inte läsa alla här där jag råkar ju av en slump vet att det är alternativ B.
CheckingSomething	Ni kanske börjar i fel ände för att få för att få det här hmm att kunna lyssna på saker så tänkte jag att jag kollar rätt mycket på sånt här gjorts hmm det inbyggt taligenkänning i windows 10 så där det här så jag tänkte att vi
CheckingSomething	Den ska dyka upp där har vi den senare ja jag bara det har gjorts sedan sist var att jag flyttar lite problemet är att det faktiskt ligger där i bild i bild ja jag skulle bara styra det och vi kunde skicka lite saker
GestureRight	Paris the report för botten arne på itab som supra i sverige har alla länkar du gjorde förra gången var att vi fick upp hmm klippig på skärmar just det
CheckingSomething	Det är inte riktigt men att så och jag jag har forskat lite där och tydligaste går det att få vårda mikrofonen och man kör en linux container i en lindex höst men har inte hittat något sätt hur man gör där i windows kör en liknande så vi kan göra det
CheckingSomething	Ändå är tanken att ni inte ska komma åt vad som kan du gå in och och använda mina krediter i aktier men jag vet inte om det kommer funka jag bara läser ut den här filen för hmm det var för krångligt att göra hmm
Congratulate	Rätt cognitus rörelsespel chester på nu innan konstig fil jag vet inte varför jag kanske längtar jag hmm s hmm och här har vi bra och grejer och den här jag då kunnat ut för att vi bara ska kunna få det här steget är väl att få saker att hmm
CheckingSomething	Sedan separerad från själva in på utbyten och det är ändå ganska lätt att va så jag tänkte att vi får sjunga in själva hmm
GestureRight	Och jag har skapat upp en sån här cognitive services resurs i västeurop datacentret för att det är om man anlägger en cd som har minst liten sig från från göteborg i alla fall man skulle kunna tro att det är något djur men hmm så är det inte är bra bra grejer
CheckingSomething	Hmm nu märker jag är förvirrad och det är botten arne och botten är ju där fina game ett sånt hade på nittiotalet och det enda felet med dig att det är för lite
GetAttention	Jag behöver inte ha fina att jag får den där det är ett bra tips är välkomna tillbaka till lunch med ett nytt program varje vecka tisdag
GestureRight	Snacka om hmm bortkastade gärning i livet hmm nu är det automatiskt är alltså nu man måste fortfarande gå ner och klicka borta mycket lite kul hmm lite såna från microsoft
CheckingSomething	Om du ska lyssna på saker så får vi se om den hmm kan tolka skulle ploppa upp här
GetAttention	Så det man behöver är att man bör skapa en sån här cognitive services och de är givetvis hmm översatt saker till svenska jag vet inte varför de håller på så
GetAttention	Jess kort och vi hade ingen ström förra veckan för hmm jag tog mig en sväng i skolan så är det ju när man är barn men det är kul det så körde vi hmm
CheckingSomething	Än är det kan vara två vs u och det är ju ganska dyrt vi hmm vi har vårt exempel på hmm it SS och vi har vårat exempel på internet exempel vara
GetAttention	Så det är den jag inne och rotar i va så får vi se hur långt vi kommer med det är det vet man inte så det hmm konsult IB är den här lilla prylar continue jag kunna det här är bra det är precis den är bra
Congratulate	Och det här ska man prata instans där nyckel som var petad nånstans och så får man läsa lite också och grejer och jag fick ingen ordning på det så därför så
RandomQuote	Hmm nu ska vi sjunga in det här person kommit till service hittar på vi låser fast den kanske och eftersom vi kör det här det här fina gemet i hmm dockor så så är det lite lurigt för dock är det ju lite tänkte att jag ska ska avskärma oss från helst oavsett och vi behöver komma åt mikrofonen och mikrofoner den sitter ju i själva den fysiska datorn här
CheckingSomething	Slutpunkt som det så här alltså direktöversatt endpoint vem säger slutpunkt
Congratulate	Det är fortfarande så att när man installerar det här är dock ett från början att den översätter alla felmeddelanden till svenska men vill ha det innan de hade när automatiskt text översättningar som har haft folk som på allvar har suttit och översatt den till svenska
GestureRight	Såhär har vi har dock lånat ut det här är susanne puls gången till service husbil fest på det är oftast det snabbaste sättet att lära sig saker jag kör du hittar deras sambos
CheckingSomething	Så nu har vi då att det vi gjorde förra gången var ju att vi bara fulare in klippig IN
